('2018/11/01', '00:20:18', 1.7, 'MLr_3', 10L, 6.757, 2.47, -73.118, 2.47, 147.0, 2.8, 0.28, 'manual', 'SGC', 'Dmartinez@proc3', 'SGC2018vjlp', '2019/08/28 15:11:47', 'Los Santos - Santander, Colombia')
('2018/11/01', '00:46:47', 0.5, 'MLr', 13L, 8.441, 1.2, -73.606, 1.2, 100.0, 1.4, 0.17, 'manual', 'SGC', 'kvallejo@proc1', 'SGC22018vjpox', '2019/08/30 02:51:56', 'Aguachica - Cesar, Colombia')
('2018/11/01', '00:59:27', 0.6, 'MLr', 11L, 7.069, 1.91, -73.432, 1.91, 110.0, 2.2, 0.18, 'manual', 'SGC', 'kvallejo@proc1', 'SGC22018vjpzt', '2019/08/30 02:37:33', 'Betulia - Santander, Colombia')
('2018/11/01', '01:03:04', 1.3, 'MLr_2', 12L, 6.06, 1.98, -73.965, 1.98, 93.0, 3.6, 0.33, 'manual', 'SGC', 'Dmartinez@proc3', 'SGC2018vjna', '2019/08/28 15:11:47', 'Sucre - Santander, Colombia')
('2018/11/01', '01:56:18', 2.3, 'MLr_3', 55L, 6.812, 0.71, -73.162, 0.71, 144.0, 1.4, 0.4, 'manual', 'SGC', 'Dmartinez@proc3', 'SGC2018vjot', '2019/08/28 15:11:51', 'Los Santos - Santander, Colombia')
('2018/11/01', '03:11:41', 1.0, 'MLr', 19L, 6.408, 1.63, -73.536, 1.63, 116.0, 3.3, 0.41, 'manual', 'SGC', 'kvallejo@proc1', 'SGC2018vjrg', '2019/08/30 02:15:41', 'Santa Helena del Op\xc3\xb3n - Santander, Colombia')
('2018/11/01', '03:21:38', 1.8, 'MLr_3', 28L, 6.786, 1.7, -73.102, 1.7, 148.0, 2.5, 0.52, 'manual', 'SGC', 'Dmartinez@proc3', 'SGC2018vjrp', '2019/08/28 15:11:55', 'Los Santos - Santander, Colombia')
('2018/11/01', '04:40:16', 2.4, 'MLr_3', 61L, 6.817, 1.06, -73.116, 1.06, 142.0, 2.1, 0.66, 'manual', 'SGC', 'mcubillos@proc3', 'SGC2018vjue', '2019/08/28 15:11:57', 'Los Santos - Santander, Colombia')
('2018/11/01', '04:40:17', 1.9, 'MLr', 10L, 6.972, 4.84, -73.873, 7.98, 5.0, None, 1.47, 'automatic', 'SGC', 'scanloc', 'SGC22018vjue', '2018/11/01 04:41:35', 'Barrancabermeja - Santander, Colombia')
('2018/11/01', '04:42:34', 1.6, 'MLr_3', 14L, 6.795, 2.26, -73.18, 2.26, 147.0, 3.1, 0.39, 'manual', 'SGC', 'mcubillos@proc3', 'SGC2018vjug', '2019/08/28 15:12:00', 'Los Santos - Santander, Colombia')
('2018/11/01', '04:44:31', 0.9, 'MLr_2', 25L, 6.856, 0.71, -73.82, 0.71, 92.0, 1.8, 0.27, 'manual', 'SGC', 'kvallejo@proc1', 'SGC2018vjui', '2019/08/30 01:52:08', 'Simacota - Santander, Colombia')
('2018/11/01', '05:19:03', 1.5, 'MLr_4', 25L, 9.378, 1.48, -73.015, 1.48, 126.0, 2.5, 0.33, 'manual', 'SGC', 'kvallejo@proc1', 'SGC2018vjvl', '2019/08/30 01:23:38', 'Norte Colombia')
